How many hours on average do you currently review code per week?,"Do you expect to spend more, less, or same time for code review in five years (in comparison to today)?",What software artifacts do you review today?,What software artifacts do you anticipate to review in five years?,What major changes do you anticipate in code review in five years?,"Based on those changes, what implications for code review do you see?",Automated code review,Automated code generation,Unsupervised software engineering,Possible Quotes
2,Less time on code review,Production code;,Production code;,AI based tools instead of/in addition to basic linters,Focus would be on more complex issues,TRUE,FALSE,FALSE,
1,More time on code review,Production code;,Production code;Parameter/configuration files;,,,FALSE,FALSE,FALSE,
2,About the same on code review,None;,Test code;Parameter/configuration files;Production code;Documentation;,AI supported code reviews.,Lower time spend on reviews.,TRUE,FALSE,FALSE,
10,About the same on code review,Production code;Test code;Documentation;GUI-based test code (end-to-end testing);Parameter/configuration files;,Parameter/configuration files;GUI-based test code (end-to-end testing);Documentation;Test code;Production code;,AI support,It will be challenging for humans to keep up with AI,TRUE,FALSE,FALSE,
3,More time on code review,Test code;Parameter/configuration files;Production code;Documentation;GUI-based test code (end-to-end testing);,Documentation;Test code;GUI-based test code (end-to-end testing);Parameter/configuration files;Production code;,"Code reviews will become more extensive and much more human involvement will be needed. Code will be generated by GenAI based tools, but reviewed by Humans. A review by humans will be mandatory to avoid any Law suites on the code development organization.",Human involvement will be much more important. Review will not be on the coding practices but rather on the solution level.,FALSE,TRUE,FALSE,
1,More time on code review,POC code;Production code;,Production code;GUI-based test code (end-to-end testing);,Automated code review using LLMs,Suggestions about defects in the code prompted automatically,TRUE,FALSE,FALSE,
0,More time on code review,None;,Documentation;Test code;Parameter/configuration files;GUI-based test code (end-to-end testing);Production code;,AI might take over some parts of the code review process.,,TRUE,FALSE,FALSE,
5,More time on code review,Parameter/configuration files;Production code;GUI-based test code (end-to-end testing);Test code;,Production code;Parameter/configuration files;,"Code review should include proprietary code, GenAI generated code, security vulnerability etc.","More robust in code review, proprietary code should be avoided.",FALSE,TRUE,FALSE,
5,More time on code review,Production code;Test code;Documentation;Parameter/configuration files;,Production code;Test code;Parameter/configuration files;Documentation;GUI-based test code (end-to-end testing);,Complete code review with the help of AI,Reduction in time required to review,TRUE,FALSE,FALSE,
3,Less time on code review,Test code;Production code;Documentation;GUI-based test code (end-to-end testing);,Test code;Production code;Documentation;GUI-based test code (end-to-end testing);,Some GenAI assisted code review tool with good performance to analyze the code review like today we use to do in code review covering all areas not only basic.,There are GenAI assisted code review tool but those are not that much effective and comparable to manual.,TRUE,FALSE,FALSE,
5,About the same on code review,Test code;Production code;Parameter/configuration files;GUI-based test code (end-to-end testing);,Production code;GUI-based test code (end-to-end testing);Parameter/configuration files;Test code;,"minor issues will be sorted out with help of AI tools well before code review, while these tools can assist during code review as well",in the end higher code quality is expected and less senior developers can also perform code reviews,TRUE,FALSE,FALSE,
2,About the same on code review,Parameter/configuration files;Production code;Test code;Documentation;,Parameter/configuration files;Production code;Documentation;Test code;,,,FALSE,FALSE,FALSE,
2,About the same on code review,Production code;Parameter/configuration files;Documentation;Test code;,Production code;Documentation;Test code;Parameter/configuration files;,"In 5 years I want code reviews to be partially automated with AI taking care of coding issues like syntactical, code flow, catching coding issues like NPE. Leaving just the business critical domain logic to be reviewed by the SME",,TRUE,FALSE,FALSE,
3,About the same on code review,Test code;Parameter/configuration files;Production code;,Parameter/configuration files;Production code;Test code;,AI assisted code review: getting an overview and AI analysis of the submitted code,Getting better overview speeds up CRs,TRUE,FALSE,FALSE,
2,More time on code review,None;,Documentation;Parameter/configuration files;Test code;Production code;GUI-based test code (end-to-end testing);,not much input at the moment,not much input at the moment,FALSE,FALSE,FALSE,
5,Less time on code review,Parameter/configuration files;Test code;,Test code;Parameter/configuration files;,tool and process to increase automation and AI driven code.,"Increased efficiency and faster feedback, reduce human error and efforts, improve code quality.",TRUE,TRUE,FALSE,
3,About the same on code review,Production code;Test code;Documentation;Parameter/configuration files;,Documentation;Production code;Parameter/configuration files;Test code;,,,FALSE,FALSE,FALSE,
4,About the same on code review,Production code;Documentation;Test code;,Test code;GUI-based test code (end-to-end testing);Parameter/configuration files;,"As a developer I would expect to review only production code, and mind very few time with the others. But I think production code review could be better if we devoted more time.","Configuration, and documentation review could be replaced by AI. Also we could start using AI to write documentation based on the code/interfaces.",TRUE,FALSE,FALSE,
0,More time on code review,None;,Test code;,That we perhaps start doing it systematically.,,FALSE,FALSE,FALSE,That we perhaps start doing it systematically.
2,Less time on code review,Parameter/configuration files;Production code;Documentation;,Production code;Parameter/configuration files;Documentation;,"More involvement of GenAI tools, helping not to focus on basic mandate reviews and only on explicit specific key areas and to have a base review report inplace before we start with the review that could be use as a base.",I think t would speed up the time and effort put into code-reviews while maintaining if not increasing the quality of developed software,TRUE,FALSE,FALSE,
4,About the same on code review,Documentation;Test code;Parameter/configuration files;Production code;,Parameter/configuration files;Documentation;Test code;Production code;,"I do not expect big changes, unless the AI hype leads to many computer written code which would be much harder to review.",,FALSE,TRUE,FALSE,"I do not expect big changes, unless the AI hype leads to many computer written code which would be much harder to review."
4,About the same on code review,Production code;Test code;,Production code;Test code;,"* additional features introduced to programming language (e.g: c++ introduce new feature every 3 years, c adds more safety features)
* ban of some programming languages for government contract forcing the industry towards memory-safe programming languages
* increase amount of AI generated code","* More knowledge required to ensure review quality
* More difficulty handling AI generated code",FALSE,TRUE,FALSE,
3,About the same on code review,Production code;,Production code;Parameter/configuration files;Documentation;Test code;ci code;,,,FALSE,FALSE,FALSE,
2,More time on code review,Documentation;Production code;Test code;,Production code;Test code;Documentation;,"I think more code will be written with the help of AI, so in the near future more code review will be required, because with AI assistance more code will be written, which can be all over the place with the current AI models. Further in the future is questionable (in my opinion, a lot is depended if writing source code with AI is worth the energy) if the AI will be able to write clean and working code consistently, maybe less code review will be needed.","We will have to decide if we want to write code with AI or review code with AI (code review is more energy efficient than generating the code in my opinion) I don't think both at the same time will work, because there can be instances, where the programmer generates bad code with the AI, and a mistake is kept in, and because of time shortage the reviewer also uses AI to review the same code, and the AI doesn't catch the mistake because it generated it.",TRUE,TRUE,TRUE,"We will have to decide if we want to write code with AI or review code with AI (code review is more energy efficient than generating the code in my opinion) I don't think both at the same time will work, because there can be instances, where the programmer generates bad code with the AI, and a mistake is kept in, and because of time shortage the reviewer also uses AI to review the same code, and the AI doesn't catch the mistake because it generated it."
2,About the same on code review,Test code;,Test code;GUI-based test code (end-to-end testing);,,,FALSE,FALSE,FALSE,
2,More time on code review,Documentation;GUI-based test code (end-to-end testing);Test code;Parameter/configuration files;Production code;,Documentation;Production code;GUI-based test code (end-to-end testing);Test code;Parameter/configuration files;,"AI-powered code reviews will become standard, automating bug detection, and security checks and reducing manual effort while ensuring transparency.","Faster and more automated reviews with AI.
Increased focus on security, compliance, and ethical coding.",TRUE,FALSE,FALSE,
2.5,Less time on code review,Production code;GUI-based test code (end-to-end testing);,Documentation;Production code;Test code;GUI-based test code (end-to-end testing);,With the help of SonarQube plugin and Amazon Q AI code review and its fixes can be faster.,Reduction in time taken for code  review.,TRUE,FALSE,FALSE,
5,Less time on code review,Documentation;Parameter/configuration files;Production code;,Production code;Documentation;,"Automated code reviews, customized to COMPANY specific needs preferably.
AI enabled CI for early feedback.","Should be continuously evolving and managed
Review cycles will be left shifted",TRUE,FALSE,FALSE,
8,More time on code review,Production code;Test code;Documentation;,Documentation;Parameter/configuration files;Production code;Test code;GUI-based test code (end-to-end testing);,More integrated use of AI tools in code review process.,Spending more time on code reviews (proportionally to code production).,TRUE,TRUE,FALSE,
2,Less time on code review,Production code;Test code;Parameter/configuration files;Documentation;,Test code;Parameter/configuration files;Documentation;Production code;,"I think AI will have an impact on tools, processes, participants, etc and thus also on how we review code. For example, a tool used for reviewing code powered by AI would speed up the process.",I think there will be less time spent on review and the quality would be higher.,TRUE,FALSE,FALSE,
2,More time on code review,Test code;Documentation;Production code;,Test code;Documentation;Production code;,more code to review because of AI assisted coding,focus and value will shift from writing code to reviewing it. Code to review will be more dangerous and lower quality.,FALSE,TRUE,FALSE,
1,More time on code review,Production code;,Production code;Parameter/configuration files;Test code;Documentation;,"tests to be included in production code, less hardcoding and more configuration files, better templates and code quality","less bugs, less surprises",FALSE,FALSE,FALSE,
4,About the same on code review,Production code;Documentation;,Production code;Documentation;,"AI-Powered Code Review Assistants
More Focus on Design and Intent, Less on Syntax
Better Integration with CI/CD","Redefinition of Reviewer Responsibilities
Faster Review Cycles, but Higher Expectations
Continuous Feedback and Developer Growth
Review Process Becomes More Context-Aware
Increased Need for Tooling Literacy",TRUE,FALSE,FALSE,"Redefinition of Reviewer Responsibilities
Faster Review Cycles, but Higher Expectations
Continuous Feedback and Developer Growth
Review Process Becomes More Context-Aware
Increased Need for Tooling Literacy"
2,About the same on code review,Documentation;Parameter/configuration files;Test code;Production code;,Documentation;Test code;Parameter/configuration files;Production code;,more LLM usage in code review,,TRUE,FALSE,FALSE,
5,Less time on code review,Test code;Parameter/configuration files;Documentation;Production code;,Production code;Test code;Parameter/configuration files;,I am hoping code review time will come down. Minor issues are either fixed either before the PR with the help of AI reviewer. Code itself will be AI generated and we need to verify the logic and flow.,,FALSE,FALSE,FALSE,
,Less time on code review,Production code;Test code;Documentation;,Documentation;Production code;Test code;,"I spend less time on it today than I did five years ago because I'm more senior and better at it. However, I anticipate spending more time on it with the rise of AI assisted code generation. It'll be more important.",It should be prioritized.,FALSE,TRUE,FALSE,
5,About the same on code review,Production code;,Documentation;Production code;Test code;,More AI assisted?,,FALSE,FALSE,FALSE,
6,About the same on code review,Documentation;Production code;Test code;GUI-based test code (end-to-end testing);,Production code;Parameter/configuration files;Documentation;Test code;GUI-based test code (end-to-end testing);,Automated and AI based reviews,"With automation and AI, we can see significant speed in review process, improve consistency.. but may have to be cautious with missing context-specific issues and creativity.",TRUE,FALSE,FALSE,
2,About the same on code review,Production code;Parameter/configuration files;,Parameter/configuration files;Production code;,More automatized and advanced testing using AI,Quicker reviews,TRUE,FALSE,FALSE,
8,More time on code review,Production code;Test code;,Test code;Parameter/configuration files;Production code;,AI support in the process,"To perform code review faster
More code review requests",FALSE,FALSE,FALSE,
4,About the same on code review,Production code;,Production code;Parameter/configuration files;,Ai everywhere,Less code review,FALSE,FALSE,TRUE,
2,Less time on code review,Production code;Test code;Parameter/configuration files;,None;,AI powered reviews. Like codium but more advanced,It will be done automatically,TRUE,FALSE,FALSE,
2,More time on code review,Parameter/configuration files;Test code;Production code;Documentation;,Test code;Documentation;Parameter/configuration files;Production code;,Introducing more automated way to suggest improvements.,,FALSE,FALSE,FALSE,
3,About the same on code review,Parameter/configuration files;Production code;Test code;,Test code;Production code;Parameter/configuration files;,AI supporting tools with more recommendations,Focus will move to more general view rather than detail,FALSE,FALSE,FALSE,
3,Less time on code review,Production code;Parameter/configuration files;,Documentation;Production code;Parameter/configuration files;,"More automation
AI-augmented process","Code review will probably be less about code correctness, but more about checking if it meets the client requirements and adheres to some specific needs of the production environment.",TRUE,FALSE,FALSE,"Code review will probably be less about code correctness, but more about checking if it meets the client requirements and adheres to some specific needs of the production environment."
2,More time on code review,Parameter/configuration files;,Production code;Test code;Parameter/configuration files;Documentation;,"more automated tools for ai-based CR
CR suggestions based on AI",,TRUE,FALSE,FALSE,
4,About the same on code review,Production code;Parameter/configuration files;,Production code;Test code;,More AI integration for support,Not sure,TRUE,FALSE,FALSE,
10,More time on code review,Parameter/configuration files;Production code;Test code;,Documentation;GUI-based test code (end-to-end testing);Production code;Parameter/configuration files;,"Improvement of tools based on advances in AI
Legal considerations because of the use of AI",Doing more code reviews since code generation with AI is becoming more popular,TRUE,TRUE,FALSE,"Improvement of tools based on advances in AI
Legal considerations because of the use of AI"
12,More time on code review,Production code;Test code;Parameter/configuration files;,Production code;GUI-based test code (end-to-end testing);Parameter/configuration files;Test code;,"Since the amount of generated code will be more in the future, more time will be spent on reviewing the code.","More focus on code review
More focus on code quality
More focus on testing
More focus on architecture",FALSE,TRUE,FALSE,
6,About the same on code review,Production code;Test code;,Test code;Production code;,AI integration with coding tasks,Code review improvements,FALSE,TRUE,FALSE,
12,More time on code review,Parameter/configuration files;Production code;Test code;,Test code;Parameter/configuration files;Production code;,AI support in code review and documentation,Developers will spend more time on code review since code generation will be more prominent,TRUE,FALSE,FALSE,
8,More time on code review,Test code;Production code;Parameter/configuration files;,Test code;Production code;Parameter/configuration files;,"AI support for code review similar to copilot
More code review tasks as the amount of generated code increases",Spending more time on code review rather than coding,TRUE,FALSE,FALSE,
16,More time on code review,Documentation;Test code;Parameter/configuration files;Production code;,Production code;Documentation;Test code;Parameter/configuration files;,"I anticipate spending more time on code review as we are getting a lot of tools that support code generation. Therefore, we will have more code to review. Maybe there will be some sort of AI support for code review as well. But give the recent development (Microsoft fiasco with their code review with AI [wink wink]), I doubt it will be soon.","As I mentioned, we will spend more time on code review. 
I am a bit concerned about the future generation of developers as they will have less experience actually coding.",FALSE,TRUE,FALSE,I am a bit concerned about the future generation of developers as they will have less experience actually coding.
2,More time on code review,Production code;Test code;,Test code;Production code;,"I expect that there will be more generated code of a worsen quality. I expect that there will be a lot of AI-code-review systems, which will be pretty useless.",I would love to see much better code inspection/navigation in in-browser code review system.,TRUE,TRUE,FALSE,"I expect that there will be more generated code of a worsen quality. I expect that there will be a lot of AI-code-review systems, which will be pretty useless."
5.5,More time on code review,Production code;Test code;Parameter/configuration files;,Parameter/configuration files;Production code;Test code;,"Significant part of ""early review"" will be performed by AI tools. The developers would review much cleaner code (hopefully :D).

There will be a drastic increase in AI-produced code and tests which also must be reviewed. Reviewing such code would be more challenging. More time would be spent on instructing AI agents how to fix the review problems.","More AI to help with early reviews, but also more AI-produced stuff to review.",TRUE,TRUE,FALSE,
10,More time on code review,Test code;Production code;Parameter/configuration files;GUI-based test code (end-to-end testing);Documentation;,Parameter/configuration files;Production code;GUI-based test code (end-to-end testing);Test code;Documentation;,"More code to review in general due to the agentic generation. Some modern language are not well suited for code review in browser, because many things are implicit and visible only with IDE assistance (e.g. Kotlin, inlays for inferred types and `this` type). Complex build systems where a single source code unit can be re-used in different contexts e.g. in modules with different dependencies.",,TRUE,FALSE,FALSE,
1,More time on code review,Production code;Test code;,Production code;Parameter/configuration files;Test code;Documentation;,"AI will produce a tons of code with various quality. Reading that code will be more important than actually writing it. We need better tools to quickly read, review and adjust. The primary target of review will be AI Agent.","Quicker turnaround, but generally lower quality of code to be review.",TRUE,TRUE,FALSE,"Quicker turnaround, but generally lower quality of code to be review."
1,More time on code review,Production code;,Production code;,,,FALSE,FALSE,FALSE,
4,More time on code review,Production code;Test code;Parameter/configuration files;Documentation;,Production code;Documentation;Test code;Parameter/configuration files;,More AI generated/assisted code,"The author of the code will have probably just reviewed and adjusted AI generated code, so the CR will not be checking code that someone intelligent wrote, but just reviewed. This will force us to review the code in a different way.",FALSE,TRUE,FALSE,This will force us to review the code in a different way.
4,More time on code review,Production code;Parameter/configuration files;,Parameter/configuration files;Production code;,"The would be more AI generated code.
Less worrisome about the code quality (if it was AI-generated, the educative part is gone from the review; for generated code it's strange to put an extra effort for following rules and standards too much).",,FALSE,TRUE,FALSE,
3,About the same on code review,Production code;Test code;Documentation;,Production code;Documentation;Test code;,"AI will be used to review code, and then we will have to review code and also the AI review of the code :/","As long as AI is involved, it is likely to be a more tedious process than before.",FALSE,TRUE,FALSE,"As long as AI is involved, it is likely to be a more tedious process than before."
4,More time on code review,Production code;GUI-based test code (end-to-end testing);Test code;Documentation;Parameter/configuration files;,Production code;GUI-based test code (end-to-end testing);Test code;Documentation;Parameter/configuration files;,I'll have to review more code generated by AI,It must become more convenient,FALSE,TRUE,FALSE,
3,About the same on code review,Documentation;Production code;Parameter/configuration files;,Documentation;Production code;Parameter/configuration files;,"I think that in the next five years, the amount of time we spend on code review will not change much. We might be able to produce more code due to agents and LLMs, but at the same time we will probably be able to review more with the help of agents and LLMs. There might be an increase in the amount of code that goes through the code review, but that increase in that amount will not necessarily result in an increased code review time.

I also do not think that code review will disappear completely due to agents or LLMs. There will be people who will need to review the code which creates the agents, but also people who review agent written code when it is important. 

It is worth noting, that when we speak of “code review”, my understanding of it is that a person reviews another person's code, with or without the help of additional tools. When I am asking an agent or an LLM to write me a piece of code required to complete my task, I would not consider it code review. I think for a while humans will still monitor the output of the individual agents and then submit the code, after they make their changes if necessary, to the code review.","Code review will continue to be an important part of sharing the information with other team members and discussing possible improvements. We might be to review more code written by agents on our behalf, but the code review between two people will take the same time because there will be tools which can process more code and help with the review.",TRUE,TRUE,FALSE,"Code review will continue to be an important part of sharing the information with other team members and discussing possible improvements. We might be to review more code written by agents on our behalf, but the code review between two people will take the same time because there will be tools which can process more code and help with the review."
6,More time on code review,Production code;Test code;GUI-based test code (end-to-end testing);Parameter/configuration files;Documentation;,Production code;Test code;GUI-based test code (end-to-end testing);Parameter/configuration files;Documentation;,,,FALSE,FALSE,FALSE,
